# form<TAB>count — Taraškievica word-form frequency, most frequent first.
# Built by scripts/build_frequency_list.py from betarask-dump.xml.bz2:
# 90896 main-namespace articles, 784102 distinct forms over
# 17177313 tokens; top 60000 kept, covering 87.7% of tokens.
# Wikitext is stripped crudely, so the tail contains markup residue; the head,
# which is what the coverage figure and the mining rank depend on, does not.
# 365 article(s) held out by the recall corpus are EXCLUDED,
# so a stem is never believed partly on the evidence of the sentences
# it is later scored against.
# Text is CC BY-SA 4.0 (be-tarask.wikipedia.org).
атрымала	4687
сталі	4656
большасьць	4639
заснаваны	4636
алімпійскіх	4611
потым	4597
нават	4593
ўлады	4557
могуць	4550
ўдзел	4544
каманда	4541
футбаліст	4541
некаторыя	4536
вільні	4533
звычайна	4529
-м	4528
адной	4510
частцы	4509
празь	4483
часткі	4474
дзякуючы	4470
створаны	4436
депутатов	4425
асноўным	4405
зьяўляюцца	4381
решение	4379
менскага	4361
шмат	4354
-ы	4349
якую	4333
вынікі	4327
сьвеце	4314
першыя	4312
суд	4311
дом	4273
мела	4270
сельсавеце	4251
паходзіць	4228
мастацтва	4211
мову	4199
народнай	4182
руху	4170
гарады	4164
другі	4157
павеце	4147
бок	4137
з-за	4137
войскі	4129
князя	4122
чаго	4119
князь	4116
радыё	4106
працягу	4099
першая	4096
дзейнасьці	4075
горадзе	4070
прэміі	4068
будынак	4066
аўтар	4066
ўсе	4063
упершыню	4056
паходжаньне	4052
кнігі	4049
вкл	4042
школа	4018
года	4013
ўсё	3996
об	3994
лізе	3992
часта	3986
сын	3986
кантракт	3985
футболе	3979
дзьве	3976
частку	3972
іншымі	3972
камітэт	3969
ужо	3967
людзей	3962
удзел	3957
двух	3955
мелі	3946
роду	3933
вядомы	3921
статус	3913
мікалай	3912
сэзон	3910
ліцьвінаў	3909
нямеччыны	3904
чэмпіён	3882
школы	3880
вялікай	3871
чалавека	3863
жыцьцё	3847
гомельскай	3834
раней	3832
сыстэмы	3825
адна	3813
паэт	3813
аснова	3812
гістарычных	3807
прозьвішча	3800
захадзе	3799
галоўны	3796
гульняў	3791
расейскі	3788
ўсход	3781
фільм	3770
памёр	3768
вайну	3762
пачалі	3759
аднаго	3757
групы	3733
уладзімер	3730
ёй	3727
зноў	3726
мора	3723
захад	3716
паўночнай	3715
гэтых	3711
областного	3708
беларускае	3705
моваў	3699
пісьменьнік	3696
пасаду	3693
нацыянальнага	3683
заходняй	3682
герб	3661
рака	3660
матч	3652
складаецца	3645
гульнях	3645
ля	3638
колькасьці	3635
пераважна	3625
старшыня	3622
музэй	3619
студзені	3611
канца	3603
по	3593
менш	3590
павет	3576
песьні	3569
акругі	3564
заўвагі	3561
германскія	3561
прэзыдэнта	3551
назвы	3549
магілёўскай	3549
галоўным	3548
трох	3536
знаходзілася	3532
часткай	3528
цэнтры	3527
области	3526
арміі	3515
першага	3514
першую	3509
-е	3495
гонар	3485
поўначы	3485
пачатак	3475
зьвестак	3475
асабліва	3475
тады	3474
існуе	3471
вярнуўся	3445
кароль	3443
самым	3443
караля	3439
інстытут	3435
іван	3433
дзяржаўнай	3432
воласьці	3432
паселішча	3422
віленскага	3417
клюбы	3389
дзяцей	3388
