# form<TAB>count — Narkamaŭka word-form frequency, most frequent first.
# Built by scripts/build_frequency_list.py from bewiki-pages-articles.xml.bz2:
# 266050 main-namespace articles, 1321264 distinct forms over
# 44119525 tokens; top 20000 kept, covering 77.0% of tokens.
# Wikitext is stripped crudely, so the tail contains markup residue; the head,
# which is what the coverage figure and the mining rank depend on, does not.
# Text is CC BY-SA 4.0 (be.wikipedia.org).
такім	11557
мора	11531
мова	11508
станцыі	11472
уладзімір	11471
населеных	11468
размешчана	11429
нават	11409
гэтыя	11406
канца	11368
сталі	11356
см	11347
чалавека	11332
роду	11303
з’явіліся	11295
творы	11283
падзеі	11281
даўжыня	11205
сваім	11202
сайце	11143
ўсіх	11133
прафесар	11112
ступені	11100
працоўных	11086
атрымала	11078
тое	11071
будаўніцтва	11061
агульным	11046
заходняй	11002
руху	11002
члены	10996
сельсаветы	10925
від	10921
дадзеных	10907
нарадзіліся	10879
тэрыторыя	10864
ёй	10818
пераважна	10790
бо	10788
гміны	10787
галіне	10776
могуць	10763
свае	10754
ўваходзіла	10747
адукацыі	10734
шмат	10724
помнік	10677
фільмы	10673
аднаго	10672
об	10672
святога	10666
зноў	10664
гродзенскай	10646
ўжо	10639
польскай	10632
свой	10604
смаленскай	10598
галоўны	10548
жыццё	10521
завулак	10512
чэмпіянату	10507
выканкома	10470
каталог	10468
раней	10466
сабой	10449
ўсё	10439
беларускіх	10409
мастак	10392
займае	10373
распараджэнняў	10344
афіцыйны	10292
-ы	10270
чаго	10270
створаны	10207
прозвішча	10196
адна	10192
магілёўскай	10175
там	10167
прэзідэнта	10148
кнігі	10125
камітэта	10119
агульны	10117
літоўскага	10112
караля	10077
асабліва	10061
першыя	10053
першая	10040
гарадскога	10019
мінска	10006
пасаду	9992
народнай	9991
дзве	9973
вялікабрытаніі	9949
другі	9939
фільм	9924
мінскага	9905
відаў	9897
потым	9844
пунктаў	9825
ўсе	9814
вёсцы	9778
поўначы	9771
дэ	9757
паўночны	9751
мікалай	9721
складаецца	9709
касцёл	9673
людзей	9672
галоўным	9665
дзяржаўнай	9635
вялікая	9626
агульнага	9624
заснаваны	9616
абароны	9604
тысяч	9601
гомельскай	9564
некаторых	9562
рака	9559
войскі	9505
прызначаны	9487
мм	9486
гэтых	9485
геаграфія	9477
менш	9455
асноўным	9425
дзяцей	9423
кароль	9367
хоць	9337
зборнай	9316
захадзе	9315
пералічаных	9308
раслін	9291
каталогу	9274
-е	9253
кампаніі	9246
арыгінальным	9242
цалкам	9239
дзейнасці	9219
код	9216
кіравання	9208
трох	9147
дзякуючы	9143
частку	9127
якую	9120
ролю	9092
нараджэння	9089
савецкі	9071
паўднёвы	9039
ужо	9032
міністэрства	9031
вайна	9016
большасць	9011
цэнтры	9007
алімпійскіх	8995
удзел	8945
адкрытыя	8927
часткай	8926
млн	8916
іншымі	8823
каманды	8817
мастацтваў	8815
ордэна	8815
войскаў	8799
цэнтральнай	8763
справочник	8749
слова	8747
свеце	8720
шчыльнасць	8719
нацыянальны	8687
асноўныя	8667
рускай	8645
по	8615
ўдзел	8614
кафедры	8604
астранамічныя	8601
аснове	8598
гульні	8595
склікання	8592
група	8549
сустракаецца	8519
рэчы	8497
депутатов	8483
энциклопедия	8483
доктар	8460
савецкага	8445
песні	8433
то	8431
шэраг	8422
паўднёвай	8415
сіл	8403
першага	8396
нягледзячы	8389
тэатра	8370
літвы	8352
іван	8344
сельскай	8341
сілы	8338
краін	8332
развіцця	8326
решение	8302
пабудаваны	8294
зноскі	8275
неўзабаве	8269
пачатак	8258
колькасці	8227
жанчын	8223
будзе	8213
упершыню	8168
мела	8165
сельскага	8139
прэзідэнт	8097
цела	8085
творчасць	8083
аляксандра	8064
амерыканскі	8056
сузор’е	8040
воласці	7995
памерлі	7990
універсітэце	7983
сяло	7975
прыкладна	7974
адзінка	7959
сяргей	7954
працу	7952
месье	7933
поўдзень	7929
савецкай	7924
тады	7896
нямецкай	7891
ліпені	7884
цэнтра	7878
выглядзе	7856
многія	7850
архітэктуры	7839
выкарыстоўваецца	7835
верасні	7827
паспалітай	7818
рэгіёне	7810
войскамі	7806
прадстаўнікоў	7803
спачатку	7803
раз	7796
войска	7783
еўропе	7776
цэнтрам	7775
спраў	7769
вытворчасці	7768
пісьменнік	7760
брэсцкай	7745
справа	7735
культура	7734
даных	7709
ордэн	7704
назвай	7683
размяшчаецца	7683
плошчу	7626
станцыя	7618
розныя	7609
бацька	7608
адначасова	7607
сакавіку	7605
плошчы	7585
метраў	7574
такіх	7572
вільні	7557
такія	7537
інфармацыя	7533
наук	7516
некалькіх	7514
званне	7506
гаспадаркі	7482
новай	7473
памяць	7468
пункт	7465
тэрмін	7460
мелі	7442
святы	7440
вядома	7435
востраў	7427
сям’я	7419
вярнуўся	7398
старшыня	7395
камуны	7395
сістэма	7347
мову	7333
агульная	7325
кіраўнік	7302
статус	7300
сам	7292
назвы	7284
віды	7277
сцяг	7243
пачалі	7225
першапачаткова	7221
вучыўся	7209
мяжы	7198
республики	7196
азіі	7190
ред	7178
беразе	7171
студзені	7160
праект	7143
формы	7138
старшыні	7126
вайну	7124
поўдні	7124
менавіта	7122
паверхні	7107
чатыры	7089
стварэння	7083
значэнне	7083
замежных	7076
рэкі	7069
князя	7067
дапамогай	7040
прэмія	7037
вады	7034
вайне	7028
самых	6998
ян	6985
клуба	6978
хто	6971
швецыі	6950
выступаў	6939
бітвы	6935
інстытуце	6934
іспаніі	6932
чырвонай	6931
паэт	6912
складала	6908
адкрыты	6902
японіі	6901
кіраўніцтвам	6887
эстоніі	6880
твораў	6877
знаходзіўся	6876
варыянт	6871
пакінуў	6862
ўлады	6851
міхаіл	6827
значна	6806
адбылася	6791
удзельнікі	6782
герой	6780
сезон	6776
самым	6770
жніўні	6754
гульняў	6753
знаходзяцца	6750
віцебскага	6736
расія	6735
расійскі	6718
вучылішча	6714
расліны	6714
храм	6711
